God names,WtbD(Words to be defined)
"Anuna/Anunnaki 𒀭𒀀𒉣𒈾/ The Ennead -The great judges of Heaven, the Earth, and the Underworld
Anuna etymology: Sumerian, approx. meaning: ""the Offspring of An"" 
Anunnaki etymology: Akkadian variant of Anuna,
Ennead etymology: from Greek ""ἐννέα"", meaning ""nine""","Ḫarali 𒄩𒊏𒇷  - possibly logographic meaning ""Where the Fish Drive Down Upon the Junipers"""
"Nuska 𒀭𒉺𒌆/Nusku 𒀭𒉺𒇻 - The vizier of Enlil. It is unclear whether Enlil is the biological father of Nuska, as well as ""the Father"" of Nuska through being the leader/king of his own house/domain. 
                                      Nuska was often associated with Gibil, and it is plausible the pair are father and son.  
etymology: Sumerian, proposed meaning ""Lord of the Scepter""","Meluḫa 𒈨𒈛𒄩𒆠/𒈨𒈛𒄩 - possibly logographic meaning ""Land of the Envoy"" but may be phonetically understood as ""Land of the Ship Riders"", but utimatley maty be a Sumerian loan word "
"SI.LU.IGI 𒀭𒋛𒇻𒅆- The ferryman of the Underworld
                  etymology: Unknown, meaning: Unknown","Magan 𒈣𒃶𒆠/𒈣𒃶 possibly logographic meaning ""Land of the Ship Attendants"""
"Ninmah 𒀭𒎏𒈤 /Ninsikila 𒀭𒎏𒂖)/ Damgalnuna 𒀭𒁮𒃲𒉣𒈾/ Ninḫursaĝa/Ninhursanga 𒀭𒎏𒄯𒊕/𒀭𒎏𒉺𒂅/Nintur 𒀭𒎏𒌅/Ki 𒀭𒆠/Urash 𒀭𒅁/Belet-ili 𒀭𒁁𒂖𒋾𒉌𒉌/𒀭𒁉𒀖𒉌𒇷/Mami 𒀭𒈠𒈪/Mammitum	𒀭𒈠𒄠𒈪𒌈/Nut - One of the first Igigi to ascend to the rank on Anuna. She was originally known as Urash, and was wife to Enki. Sometime after Anu had become King of Heaven he took her as wife, though previously married. The nature of her marriage to Anu is unknown and there is dispute to which, if any, of her chidlren with Anu are not actually fathered by Enki.
Ninmah etymology: Sumerian, meaning ""the Great Lady""
Ninsikila etymology:  Sumerian, meaning ""the Pure Lady""
Damgalnuna etymology: Sumerian, meaning ""Spouse of the Great Prince""
Ninḫursaĝa etymology: Sumerian, meaning ""Lord of the Scepter""
Nintur etymology: Sumerian, meaning ""Lady of Birth(ing)""/""Mother Mistress""
Ki etymology: Sumerian, meaning ""The Earth""
Urash etymology: Sumerian, meaning 
Belet-ili etymology: Sumerian, meaning 
Mami etymology: Sumerian, meaning 
Nut  etymology: Egyptain ""nwt"", meaning ""Sky""
","abba 𒀊𒁀/𒀋/𒀊𒁀𒆠 - Abba is the Mesopotamian word for elder, father, or an old man. It is unlcear in the text if ""abba wood"" is mature/old wood or if is a certian type of wood, either from a type of tree or wood posessing some valued quality"
"Aruru 𒀭𒀀𒊒𒊒 - Sister of Ninlil and sister-in-law of Enlil.
etymology: presumably Sumerian, meaning: Unknown","Marḫaši  𒈥𒄩𒅆𒆠/𒈥𒄩𒅆 possibly logographic meaning ""Land of the First Chariot Riders"""
"En-Batibira 𒀭𒂗𒁀𒁾𒉄- (The Lord of Batibira) Bad-tibira (Sumerian: 𒂦𒁾𒉄𒆠, bad3-tibira-ki) possibly Dumuzi the Sheperd",šumin stone 𒎎𒋗𒎙/𒎎𒋗𒈫 - meaning unknown logographically composed of the signs: Stone-Pestle/Poundingstone or Mueller- Two/orTwenty
"Ickur/Ishkur/Adad/Addu/Hadad/Hadd ( 𐎅𐎄)𒀭𒅎/Tessub 𒀭𒅎/𒀭𒋼𒌍𒋢𒌒(𐎚𐎘𐎁)/KA.ZAL 𒎎𒅗𒊩𒆷(KA.SAL.la)/NAM.HE 𒉆𒃶/Tarhun/Tarhunz/Marduk/Mar-Utu 𒀭𒀫𒌓/Rabb(the original ishkur/See Rabbim)/Baal 𐎁𐎓𐎍 • (bʿl /baʿlu/)
- Ishkur, later known as Adad or Hadad (from the root *hdd, ""to thunder"") - It is unknown what exactly happened to the original God of Storms, who was the son of Anu. Ninurta had earned the title for himself as King of the Igigi, before being stripped of the name Ninurta himself, at the hands of Enki.

Ickur/Ishkur etymology: Sumerian, meaning: Unknown
Adad/Addu/Hadad/Hadd  etymology: Proto-Semetic, meaning: ""Thunder""/""Thunderer""
Tessub etymology: Unknown, possibly Hurrian meaning: Unknown
KA.ZAL etymology: Unknown, possibly Sumerian meaning: Unknown, possibly ""The One Who Passed Through the Opening""
NAM.HE etymology: Unknown,possibly Sumerian meaning: exact Unknown, possibly a term refering to progeny
Tarhun/Tarhunz etymology: Proto-Anatolian/Proto-Indo-European, meaning: ""Conquerer""/""Overcomer""","Elam/Elamite 𒉏𒆠/𒉏 meaning ""The Highland""/""Highlanders"""
"Ninurta 𒀭𒎏𒅁/Ninjirsu/Ningirsu 𒀭𒎏𒄈𒋢/Uta-Ulu 𒀭𒌓𒋫𒍇𒇻/Ilaba 𒀭𒀀𒂷/Tašmišu/Tasmisud/Šuwaliyat/Suwaliyattae/Lugal-Marda 𒀭𒈗𒀫𒁕(Lugal-Maradak)/Enlil-banda 𒀭𒂗𒆤𒌉𒁕/Zababa𒀭𒍝𒂷𒂷/Enbilulu         𒀭𒂗𒁉𒇻𒇻/Erimabinutuku 𒀭𒉈𒊒𒀀𒉈𒉡𒌇/Pabilsag/Ashtar(as Ninazu) 𐎓𐎘𐎚𐎗/Ya’abdar(possibly as Ninazu)/Duku 𒀭𒇯𒆬/Hurabtil/Shushinak 𒀭𒈹𒂞//Marduk/Papsukkal/Alammuš 𒀭𒋭/Nin-Azu/Ishtaran /Numušda/Numucda         𒀭𒉡𒈲𒁕/Lugal-banda 𒀭𒈗𒌉𒁕/Tishpak 𒀭𒈽/Panigara/Ninpanigarra 𒀭𒎏𒉽𒉄

Ninurta etymology: Sumerian, meaning: ""Lord of Barley""
Ninjirsu/Ningirsu etymology: Sumerian, meaning: ""Lord of Girsu""
Uta-Ulu etymology: Sumerian, meaning: Unknown, possibly “Shining One From Where the South/Evil/Storm/(Sandstorm) Wind Stirs”/”The One The Shines Because of the (Stirring) South/Evil/Storm/(Sandstorm) Wind”/”The One That Has Shone Since the Stirring of the South/Evil/Storm/(Sandstorm) Wind”
Ilaba etymology: Sumerian, meaning: Unknown
Tašmišu/Tasmisud etymology: Hurrian, meaning: Unknown, plausibly ""The Strong""
Šuwaliyat/Suwaliyattae etymology: Unknown, presumably Hittite/Hattic meaning: Unknown
Enlil-banda etymology: Sumerian, meaning: ""Junior Enlil""/""Junior of Enlil""
Erimabinutuku etymology: Unknown, possibly Sumerian, meaning: Unknown, possibly written as “He Who Does Not Allow the Enemy the Knowledge of Fire”/”Does Not Allow Evil, With the Knowledge of Fire”/” He With the Knowledge of Fire, and Does Not Allow Evil”
Ashtar etymology: Proto-Semetic/Semetic, meaning: Unknown
Ya’abdar etymology: Semetic, meaning: Unknown
Duku etymology: Unknown, possibly  Sumerian meaning: Unknown, possibly ""Holy Ruiner""
Hurabtil etymology: possibly Semetic/Elamite, meaning: Unknown
Shushinak etymology: Unknown, possibly Semetic meaning: Unknown
Alammuš  etymology: Sumerian, meaning: ""The Honeyed/Syrup Serpent""
Nin-Azu etymology: Sumerian, meaning: Unknown
Lugal-banda etymology: Sumerian, meaning: ""Junior Hero""/""Young King""/""Wild King""
Tishpak etymology: Unknown, possibly Hurrian or Luwian meaning: Unknown
","Urim/Ur  𒋀𒀕𒆠𒈠/𒋀𒀊𒆠𒈠/𒋀𒀊𒆠 - possible logographic meaning ""Dwelling of the Brother's Temple"" "
"Ninnisig 𒀭𒎏𒊬- etymology: Old Babyloniain, meaning: ""Lady of the Greenery/Orchard""","sa-a plant 𒌑𒅊𒀀  - possible logographic meaning ""Pale (possibly as a shade of green or yellow) Water Plant"" "
"Ninkura 𒀭𒎏𒆳𒊏-  etymology: Old Babylonian, meaning: written as ""Lady of the Mountians""","atutu plant 𒌑𒀀𒌅𒌅 - possibly a type of thorny plant - meaning is unknown possible logographic meaning ""Water Plant That Makes Ill and Causes Birth""  The sign tud (𒌅𒌅) meaning both ""To be ill"" and ""To give birth"""
"Ninimma 𒀭𒎏𒅊-  etymology: Unknown, meaning: Unknown","aštaltal plant 𒌑𒀸𒉿𒉿 - possibly an alternative word for fennel(𒌑𒉿𒉿 taltal) or a fennel like plant, aš (𒀸) is the phonetic symbol for single/alone"
"Uttu 𒀭𒋸-  etymology: Unknown, meaning: Unknown",ḫada plant  𒌑𒄩𒁕 meaning: Unknown
"Abu 		𒀭𒀊𒁀𒌑-  etymology: Old Akkadian, meaning: Forefather/Ancestor",amḫaru plant  𒌑𒄠𒄩𒊏/𒌑𒄠𒄩𒊒 meaning: Unknown
"Utu/Shamash/Utu-Shamash 𒀭𒌓 /Shulpae/Re/Atum/the Master of the Universe/Pre-Harakhti/Khopri/Asha -  
Utu 𒀭𒌓 etymology: Old Babylonian, meaning: Sun
Shamash etymology: Akkadian, meaning: Sun
Shulpae etymology: Old Babylonian, meaning: Youth Shining Forth(other possible: Youth Who Comes Into View/Youth who Was Revealed/ Youth who Adjures)
Re etymology: Egyptian, meaning: Sun
Atum etymology: Egyptian, meaning: To complete/to finish
Pre-Harakhti etymology: Egyptian, meaning: Unknown
Khopri etymology: Egyptian, meaning: to Develope/to Create",
"Inana/Inanna 𒀭𒈹/Ishhara/Ishtar/Istar 𒀭𒌋𒁯/Anunitu/Annitum 𒀭𒉡𒉌𒌈/Anzili/Sauska /Astarte /Anat /Anath 𐎓𐎐𐎚/Yamamat Liimmim ([ymmt lmm]most likely a misspelling of ymbt-lmm)/Armaiti/Ashtoreth - 
Inanna etymology: Unknown, meaning: Unknown, phonectically her name would be assumed to mean ""Lady of the Sky"" but is composed of the cuneiform Dingir(pronounced ""An"") and the cuneiform for crown(pronounced ""suh"" with ""inanak"" being an alternate giving Inanna the meaning ""Holy Crown"" or "" Divine Crown"". Though in Old babylonian inanna could also be understood as ""Divine Entreaty""
Ishara etymology: Unknown, but she was worshipped in Ebla. it is possibly Hurrian or semetic meaning: Unknown
Ishtar  etymology: Semetic, meaning: Unknown
Anunitu/Annunitum  etymology: Unknown, presumed Akkadian meaning: Unknown, possibly ""warlike"" or ""Skirmisher"", 𒀭""An""- Sky/Heaven/Divinity 𒉡""Nu""- no/not/to be not 𒉌""Ni""- our 𒌈""Tum""- crossbeam/anchor point
Anzili etymology: Unknown, presumably Hittite, possibly based on Sumerian ""anzib"" (𒀭𒍨)or ""anzil"" meaning: Unknown, Anzib is a Sumerian ephitet of Inanna, Anzil is the Sumerian word for ""abomination""
Sauska etymology: Hurrian, meaning: The Great/Magnificent One
Astarte etymology: Latinized from Greek, meaning: Unknown, Doublet of Astoreth and Ishtar
Anat etymology: Unknown, possibly Amoritic/Proto-semtic, latinzed from Greek ""Αναθ""meaning: Unknown
Yamamat Liimmim etymology: semitic [most likely translated as ymbt-lmm ""sister-in-law of the people/nation""], meaning: Unknown
Ashtoreth etymology: Borrowed from Hebrew עַשְׁתֹּרֶת (‘aštōreṯ), a qere perpetuum of the second syllable of עַשְׁתָּרְת (‘aštārṯ, “Astarte”) through the insertion of the vowels from בֹּשֶׁת (bōšeṯ, “abomination”), meaning: Unknown","hurin eagle/aru 𒄷𒌷𒅔𒄷/𒀀𒊒 Hurin eagle/brird- possible logographic meaning ""Bird That Scrapes Up from the City Sector"", ""Scrapes Up Birds from the City Sector"", Aru - meaning: Unknown"
"Abuttu/Ab-u 𒀭𒀊𒌑-  etymology: Unknown, meaning: Unknown, unclear if related to Abum Akkadian for father","lagar priests 𒇬/𒊩𒄸 possible logographic meaning, logographically composed of the signs: lagar which only known meaning refers to the priest"
"Ninsikila (child of Enki) 𒀭𒎏𒂖/𒀭𒎏𒋠𒇲 -  etymology: Unknown, possibly Old Babylonia  meaning: The Pure/Pristine Lady","gudu priests𒄴𒈨/𒋨𒈨/guda-priests 𒄴𒄴 (gudug)/gudapsu-priests 𒄴𒈨𒍪𒀊 (gudugabzuk)(akk. variant) possible logographic meaning ""Moth/Hairy Priest"" meaning: ""a type of priest; a fish"", logographically composed of the signs:𒄴 eḫ ""insect(s), bug(s); moth, louse, flea; head-louse; to have lice""-𒈨 me ""to wash, refine, desire; sexual power, virility, Being, divine properties enabling cosmic activity, rites; (cultic) ordinance; office; prayer, battle; combat, heaven, silence, stiffness""-𒍪 zu ""to know, learn; to make known, teach, a building material, tooth; barb; tine; blade; bite; ivory""-𒀊 ab ""window, window opening; roof vent; specification of a mash-tub, cow, sea"" "
"Ningiritud/ Ningirida 𒀭𒎏𒄌𒁕  -  etymology: Unknown, meaning: Unknown, possibly Lady from the City of Reeds","nuec priests 𒉡𒀊/𒉡𒀊𒀀  (nuʾešak) possible logographic meaning ""Not of the Sea"""
"Ninkasi 𒀭𒎏𒅗𒋛/Ninguenaka 𒎏𒄘𒂗𒈾𒅗-  etymology: Old Babylonian, meaning: possibly Mistress of Beer or Lady who Fills the Beer","ma garment 𒈠/𒌆𒈠  possible logographic meaning ""House/Temple Clothes""      "
"Nazi 𒀭𒈾𒍣/Nanshe 𒀭𒀏𒂊/Nanse/Nance 𒀭𒀏 -  etymology: Unknown, meaning: Unknown, made of the cuneiform shrine and fish","Tummal 𒌈𒈠𒀠𒆠/𒌈𒈠𒀠 meaning unknown logographically composed of the signs: Crossbeam, Temple, Mattock"
"Azimua/Ninazimua 	𒎏𒀭𒀀𒍣𒊬𒀀/	𒀭𒎏𒀉𒍣𒊬𒀀-  etymology: Unknown, meaning: Unknown, possibly ""Young Woman of the Water of Life""","Duacaga 𒇯𒀀𒊮𒂵/𒇯𒀀𒊮𒂵𒋫  possible logographic meaning ""Mound from out of the Field"""
"Ninti 𒀭𒎏𒋾 -  etymology: Old Babylonian, meaning: ""Mistress of Life"" or possibly ""Mistress if the Dwelling""","(Forests of)Kug-nuna 𒆬𒉣𒈾 - ""The Pure/Holy Prince"""
"Ensag /Inzak 𒀭𒂗𒊷𒀝-  etymology: Unknown, possibly Semetic or Sumerian meaning: Unknown, possibly ""Lord of the Date Palm""/""Lord Who Created the Date Palm""/""Lord Who Creates Goodness""","Ebla 𒅁𒆷𒆠/𒅁𒆷 - Means ""White Rock"", possible logographic meaning ""The (Land of the) Oval Display"""
"Nindara 𒀭𒊩𒌆𒁯𒀀-  etymology: Unknown, meaning: Unknown, possibly ""Lord of the Multicolored Water"" or ""Lord of the Multicolored Temple/Shrine""","Langi 𒆷𒀭𒄄/𒆷𒀭𒄄𒋫 meaning unknown logographically composed of the signs:  ""Shard/Pot or Hang/Balance/Suspend""-""Sky/Heaven""-""To Return/Send""-""From/Since"""
"Ninazu 𒀭𒊩𒌆𒀀𒋢 -  etymology: Sumerian meaning: Proposed ""Lord of Healing"", ","kuda-birds 𒋻𒁕𒄷  meaning unknown, possible logographic meaning ""Sharp Beaked Birds"""
"Ninĝišzida/Ninjiczida 𒀭𒊩𒌆𒄑𒍣𒁕/Lugal-cud-e 𒀭𒈗𒆃𒉈-  
Ninĝišzida etymology: Sumerian, meaning: ""Lord of the Good Tree""
Lugal-cud-e etymology: Sumerian, meaning: Unknown","ubi-birds 𒌒𒉈𒄷/𒄷𒋛𒉈𒄷/𒄷𒋛𒁉𒄷 meaning unknown, "
"Papsukkal 𒀭𒉽𒈛-  etymology: Sumerian , meaning: ""Foremost Secretary"" where ""Pap"" refers to first in rank and a male kin.","azagun-birds 𒀀𒍠𒁯𒄷/𒀀𒍠𒁯𒉡𒄷 possible logographic meaning ""Multicoloured/Colourful/Speckled Field Birds"""
"Kishar 𒆠𒊹/Neith(Possibly Ereshkigal) -  
Kishar etymology: Sumerian/Akkadian , meaning: ""The Whole Earth""
Neith etymology: from Egyptian ""Nt"" or ""nrw"", meaning: ""The Terrifier""/""The Terrifying/Fearful One""","suhur-carp 𒋦𒄩/𒄩𒋦 possible logographic meaning ""Plumed/Crowned Fish/Carp"""
"Erra 𒀭𒀴𒊏 /Gibil 𒀭𒉈𒄀/Gerra 𒀭𒄑𒁇 -  
Gibil  etymology: Sumerian/Old Babylonian, meaning: ""Scorcher""
Gerra etymology: Sumerian/Akkadian, meaning: ""Fire""
Erra etymology: Unknown, possibly Sumerian meaning: Unknown, written as ""Slave Beater"" (masculine)","ectub-carp 𒄞𒄩  possible logographic meaning ""Bull Fish/Carp"""
"Sherida/Cerida 𒀭𒂠𒉪𒁕 /Aya 𒀭𒀀𒀀/Shapash 𐎌𐎔𐎌  - 
Sherida etymology: Unknown, meaning: Unknown
Aya etymology: Akkadian, meaning: Dawn
Shapash  etymology: Unknown/ possibly Ugaritic, meaning: Sun","gakkul 𒌋𒁵  possible logographic meaning  ""Salt Rimmed"" or ""Deep with Salt"""
"Ninunuga 𒀭𒎏𒀕-  etymology: Sumerian/Old babylonian, meaning: ""Lady of Uruk""",bung- A stopper (ex. cork) for a vessel. A plug as opposed to a lid.
"Kalkal 𒀭𒆗𒆗-  etymology: Unknown, presumably Old Babylonian, meaning: Unknown, possibly ""Mighty and Powerful"" or ""The Precious/Valued Strength""","E-negir/ Enegi 𒅎𒆠/𒂗𒁶𒍼𒆠  possible logographic meaning ""Land of Rain/Wind/Fear (Storms?)""/""Land of the Lord Who Forms Wheat"""
"Suen-Acimbabbar𒀭𒂗𒍪/ Nanna 𒀭𒋀𒆠/Nanna-Suen 𒀭𒋀𒆠𒀭𒂗𒍪/Dilimbabbar 𒀭𒀸𒁽𒌓/Namra-sit/Ar/Thoth/Kusuh -  
Suen etymology: Sumerian/Akkadian , meaning: ""Lord of Knowing""
Nanna etymology: Sumerian/Old Babylonian , meaning: Unknown, cuneiform ""Brother of the Earth""
Dilimbabbar/Acimbabbar etymology: Sumerian/Old Babylonian, meaning: Unknown, possibly ""The Lone Lord of White""
Namra-sit etymology: Sumerian/Akkadian , meaning: possibly ""He Who Shines Forth""
Ar etymology: Unknown, meaning: Unknown
Thoth etymology: Romanized from Greek ""Θεύθ (Theúth)"" for Egyptian ""dhwtj"" , meaning: ""Like the Ibis""","Larsa 𒌓𒀕𒆠 possible logographic meaning ""Land of the White/Shining/Pure/The Sun's Dwelling"""
"Enbilulu 𒀭𒂗𒁉𒇻𒇻 -  etymology: Sumerian/Old Babylonian, meaning: ""Lord That Stirs Up Abundance""","Shuruppak/Curuppag 𒋢𒆳𒊒𒆠/𒋢𒆳𒊒  meaning ""the healing place"", logographically composed of the signs: ""Body/Flesh-Mountain/Foreign Land/Netherworld/Eastener-To Remove/Unknown"""
"Ningal 𒀭𒎏𒃲-  etymology: Sumerian/Old Babylonian, meaning: ""Great Queen"" or ""Great Lady""","Id-surungal/Surungal canal/ (Engilua canal ?)𒀀𒇉𒌓𒉣 possible logographic meaning ""Watercourse of the Pure Prince"", logographically composed of the signs: "" River/Watercourse-Shining/Pure-Prince/Foremost/Ruler"
"Ningikuga 𒀭𒎏𒄀𒆬𒂵-  etymology: Sumerian/Old Babylonian, meaning: ""Lady of the Pure Reed""","Id-kura 𒀀𒇉𒆳𒊏 possible logographic meaning , logographically composed of the signs: ""River/Watercourse-Mountain/Foreign Land/Netherworld/Eastener-To hit/Beat/Drive/Impress/Strike Down"""
"Sirtur :𒀭𒁍𒁺-  etymology: Unknown, meaning: Unknown","elalu 𒂊𒇷𒈝(e-li-lum?) possible logographic meaning ""To Be Rich and Fruitful!"""
